Extension,Keyword,Value,Comment
PRIMARY,SIMPLE,True,conforms to FITS standard
PRIMARY,BITPIX,8,array data type
PRIMARY,NAXIS,0,number of array dimensions
PRIMARY,EXTEND,True,
PRIMARY,DATE,2023-08-26T02:30:19.372,UTC date file created
PRIMARY,ORIGIN,STSCI,Organization responsible for creating file
PRIMARY,TIMESYS,UTC,principal time system for time-related keywords
PRIMARY,TIMEUNIT,s,Default unit applicable to all time values
PRIMARY,FILENAME,jw01666001001_02102_00001-seg001_nrcb1_o001_crfints.fits,Name of t
PRIMARY,SDP_VER,2023_2a,Data processing (DP) Software Version
PRIMARY,PRD_VER,PRDOPSSOC-062,S&OC Project Reference Database (PRD) Version
PRIMARY,OSS_VER,008.005.000.000,Observatory Scheduling Software (OSS) Version
PRIMARY,GSC_VER,GSC2431,Guide Star Catalog (GSC) Version
PRIMARY,CAL_VER,1.11.4,Calibration Software Version
PRIMARY,CAL_VCS,RELEASE,Calibration software version control sys number
PRIMARY,DATAMODL,CubeModel,Type of data model
PRIMARY,TELESCOP,JWST,Telescope used to acquire the data
PRIMARY,HGA_MOVE,False,High Gain Antenna moved during data collection
PRIMARY,PWFSEET,59979.57104056713,Previous WFS exposure end time
PRIMARY,NWFSEST,59981.25749706019,Next WFS exposure start time
PRIMARY,COMPRESS,False,On-board data compression was used (T/F)
PRIMARY,ASNPOOL,jw01666_20230825t220040_pool.csv,Name of the ASN pool
PRIMARY,ASNTABLE,jw01666-o001_20230825t220040_tso3_00002_asn.json,Name of the ASN t
PRIMARY,TITLE,Validating JWST's in-orbit clock accuracy,Proposal title
PRIMARY,PI_NAME,"Gandhi, Poshak",Principal investigator name
PRIMARY,CATEGORY,GO,Program category
PRIMARY,SCICAT,Stellar Physics and Stellar Types,Science category assigned during
PRIMARY,DATE-OBS,2023-02-05,[yyyy-mm-dd] UTC date at start of exposure
PRIMARY,TIME-OBS,19:02:07.281,[hh:mm:ss.sss] UTC time at start of exposure
PRIMARY,DATE-BEG,2023-02-05T19:02:07.281,Date-time start of exposure
PRIMARY,DATE-END,2023-02-06T04:28:41.361,Date-time end of exposure
PRIMARY,OBS_ID,V01666001001P0000000002102,Programmatic observation identifier
PRIMARY,VISIT_ID,01666001001,Visit identifier
PRIMARY,PROGRAM,01666,Program number
PRIMARY,OBSERVTN,001,Observation number
PRIMARY,VISIT,001,Visit number
PRIMARY,VISITGRP,02,Visit group identifier
PRIMARY,SEQ_ID,1,Parallel sequence identifier
PRIMARY,ACT_ID,02,Activity identifier
PRIMARY,EXPOSURE,1,Exposure request number
PRIMARY,BKGDTARG,False,Background target
PRIMARY,TEMPLATE,NIRCam Time Series,Observation template used
PRIMARY,OBSLABEL,Time Series Mode,Proposer label for the observation
PRIMARY,ENG_QUAL,OK,Engineering data quality indicator from EngDB
PRIMARY,ENGQLPTG,CALCULATED_TRACK_TR_202111,Quality of pointing information from En
PRIMARY,VISITYPE,PRIME_TARGETED_FIXED,Visit type
PRIMARY,VSTSTART,2023-02-05 18:26:18.1000000,UTC visit start time
PRIMARY,VISITSTA,SUCCESSFUL,Status of a visit
PRIMARY,NEXPOSUR,1,Total number of planned exposures in visit
PRIMARY,INTARGET,False,At least one exposure in visit is internal
PRIMARY,TARGOOPP,False,Visit scheduled as target of opportunity
PRIMARY,TSOVISIT,True,Time Series Observation visit indicator
PRIMARY,EXP_ONLY,False,Special commanding without SI configuration
