fits_file,slice_idx,epoch,wave,mjd,phase,flux
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2317,epoch1,sw,59980.943984535916,0.14228749726316892,721.0465588681535
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2769,epoch1,sw,59980.97316649717,0.22086437555844896,820.9556162998992
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2301,epoch1,sw,59981.13179498671,0.2630393275176175,902.1230426725442
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2327,epoch1,sw,59980.944630154525,0.27676928605069406,906.1187454032946
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2080,epoch1,sw,59981.11752681594,0.29099189626867883,957.8755250291792
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,596,epoch1,sw,59981.02171701652,0.3338948822929524,750.2520428915083
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,970,epoch1,sw,59981.04586315216,0.3635137139353901,1016.7364315501453
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,155,epoch1,sw,59980.993245235884,0.40324800118105486,858.5606868144714
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2762,epoch1,sw,59981.16155800335,0.4626495374541264,1154.7609081555518
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,633,epoch1,sw,59980.835262359855,0.4955537981004454,1029.8802152960143
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2245,epoch1,sw,59981.128179522624,0.5099413361749612,1040.8968885201575
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,933,epoch1,sw,59980.854630918744,0.5300075875420589,822.3292179691939
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1215,epoch1,sw,59981.06168080779,0.6583174792758655,756.5828094345217
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2363,epoch1,sw,59980.946954381536,0.7609037294168957,866.6060138206908
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1253,epoch1,sw,59980.875290714794,0.8334249427716713,740.8950523514853
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,784,epoch1,sw,59981.03385464622,0.8621524813352153,740.1425628729742
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1855,epoch1,sw,59980.91415695582,0.9292287825664971,670.779775765503
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2837,epoch1,lw,59980.977557231316,0.13545043882913888,11.568116617195702
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,444,epoch1,lw,59981.01190420622,0.2898951220558956,14.259958494596187
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2456,epoch1,lw,59981.141802912556,0.3476814865425695,39.829666922521106
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,177,epoch1,lw,59980.80582235341,0.3632263375038747,18.911168889316052
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1939,epoch1,lw,59981.10842436863,0.394960120174801,38.76067994872481
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2051,epoch1,lw,59980.92681151249,0.5651618125266396,21.560638220892972
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1912,epoch1,lw,59980.91783739676,0.6958613949245773,35.07364464805864
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1698,epoch1,lw,59980.904021132206,0.8179456337820739,12.928481048025649
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2054,epoch1,lw,59981.115848996415,0.9415035631973296,26.06116772575374
